"InstTerm","ADCGradTerm","ADCPersonID","ADCGradAcadProgram","GradProg","GradCert","CIPCode2010","InstCountry","InstState","InstShortName"
201601,2016SP,6508855,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6508614,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6508978,A55180,A55180,,43.0104,US,NC,CPCC
201601,2016SP,6508244,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6508508,A25310,A25310,,51.0705,US,NC,CPCC
201601,2016SP,6501189,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6501684,A45420,A45420,,51.1004,US,NC,CPCC
201601,2016SP,6501406,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6501957,A60160,A60160,,47.0604,US,NC,CPCC
201601,2016SP,6506109,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6506491,A60460,A60460,,47.0613,US,NC,CPCC
201601,2016CE1,6506496,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6506273,A25380,A25380,,22.0302,US,NC,CPCC
201601,2016SP,6506072,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6507611,D25380,D25380,,22.0302,US,NC,CPCC
201601,2016SP,6507798,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6507756,A30220,A30220,,50.0408,US,NC,CPCC
201601,2016SP,6507756,D30220D1,D30220,D1,50.0408,US,NC,CPCC
201601,2016SP,6507754,A10400B,A10400,B,24.0101,US,NC,CPCC
201601,2016SP,6507958,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6507252,A10400B,A10400,B,24.0101,US,NC,CPCC
201601,2016SP,6507567,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6507001,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6504131,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6504497,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6504971,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6504991,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6504081,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6509834,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6509002,A25500,A25500,,52.1203,US,NC,CPCC
201601,2016SP,6509002,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6502620,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6502762,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6500326,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6500774,A40320,A40320,,15.0805,US,NC,CPCC
201601,2016SP,6500216,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6500205,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6033039,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6038822,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6038147,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6031867,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6031115,A55150,A55150,,12.0503,US,NC,CPCC
201601,2016SP,6031966,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6031975,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6031991,A45420,A45420,,51.1004,US,NC,CPCC
201601,2016CE1,6031031,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6036331,A30220,A30220,,50.0408,US,NC,CPCC
201601,2016SP,6036639,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6036717,C25500C1,C25500,C1,52.1203,US,NC,CPCC
201601,2016SP,6036492,C25500C8,C25500,C8,52.1203,US,NC,CPCC
201601,2016SP,6036009,A25380,A25380,,22.0302,US,NC,CPCC
201601,2016SP,6039173,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6039991,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6039922,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6032160,A25100,A25100,,52.0301,US,NC,CPCC
201601,2016CE1,6032795,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6035700,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6083973,D25380,D25380,,22.0302,US,NC,CPCC
201601,2016SP,6088835,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6081454,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6086167,D45400,D45400,,51.0801,US,NC,CPCC
201601,2016SP,6086013,A25120,A25120,,52.0201,US,NC,CPCC
201601,2016SP,6087317,C55240C3,C55240,C3,43.0201,US,NC,CPCC
201601,2016SP,6087273,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6084336,D25380,D25380,,22.0302,US,NC,CPCC
201601,2016SP,6084217,D25380,D25380,,22.0302,US,NC,CPCC
201601,2016SP,6089799,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6089026,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6089006,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6082358,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6082233,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6013160,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6013145,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6013734,D25380,D25380,,22.0302,US,NC,CPCC
201601,2016SP,6013262,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6018172,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,6018985,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6011184,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6011772,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6016678,C25500C3,C25500,C3,52.1203,US,NC,CPCC
